2,992529e-05 1200000 1 63
6,374644e-04 1200000 1 47
1,387789e-04 1200000 1 47
5,521534e-06 1200000 1 47
5,857318e-05 1200000 1 47
6,968823e-04 1200000 1 46
6,077555e-04 1200000 1 47
1,854644e-04 1200000 1 47
1,530051e-04 1200000 1 47
3,546014e-04 1200000 1 47
9,381695e-04 1200000 2 15
1,105638e-04 1200000 2 32
1,907696e-04 1200000 2 15
5,642532e-04 1200000 2 32
1,769761e-04 1200000 2 15
2,569863e-04 1200000 2 31
2,262164e-04 1200000 2 16
2,674219e-05 1200000 2 31
3,499245e-04 1200000 2 16
1,095028e-04 1200000 2 31
7,011264e-04 1200000 3 16
3,775114e-04 1200000 3 15
3,694558e-04 1200000 3 16
4,432954e-04 1200000 3 16
1,148079e-04 1200000 3 15
6,548737e-04 1200000 3 16
2,813901e-04 1200000 3 16
8,341883e-04 1200000 3 15
2,798963e-04 1200000 3 16
2,926287e-04 1200000 3 15
8,191591e-05 1200000 4 16
5,769856e-04 1200000 4 16
8,446639e-07 1200000 4 15
2,639808e-04 1200000 4 16
2,533705e-04 1200000 4 16
2,484981e-04 1200000 4 0
8,828210e-05 1200000 4 15
1,190521e-04 1200000 4 16
1,515113e-04 1200000 4 15
3,658400e-04 1200000 4 16
1,090958e-03 1200000 5 16
1,837751e-04 1200000 5 0
3,798082e-05 1200000 5 15
6,875077e-05 1200000 5 16
1,007765e-03 1200000 5 15
8,411828e-04 1200000 5 0
4,952860e-04 1200000 5 16
6,661123e-04 1200000 5 16
3,828165e-04 1200000 5 15
2,665356e-04 1200000 5 0
3,691978e-05 1200000 6 16
3,180935e-04 1200000 6 16
3,361311e-04 1200000 6 0
6,281731e-05 1200000 6 15
1,033230e-03 1200000 6 0
8,804410e-04 1200000 6 0
4,935967e-04 1200000 6 15
9,466578e-04 1200000 6 0
4,539057e-04 1200000 6 16
1,419620e-04 1200000 6 16
2,378878e-04 1200000 8 0
3,509855e-04 1200000 8 15
9,042164e-04 1200000 8 0
3,312587e-04 1200000 8 16
4,486006e-04 1200000 8 16
1,201131e-04 1200000 8 0
1,277402e-06 1200000 8 15
2,798963e-04 1200000 8 0
4,146475e-04 1200000 8 16
8,252673e-04 1200000 8 0
1,324128e-04 1200000 10 15
7,299490e-05 1200000 10 16
2,283385e-04 1200000 10 0
4,755591e-04 1200000 10 16
4,265769e-05 1200000 10 15
3,514183e-04 1200000 10 16
1,186193e-04 1200000 10 0
7,936110e-05 1200000 10 16
4,698212e-04 1200000 10 15
2,442539e-04 1200000 10 16
