7,068643e-04 1200000 3 45
8,613424e-04 1200000 3 18
3,679621e-04 1200000 3 17
3,036718e-04 1200000 3 17
1,981968e-04 1200000 3 18
2,888173e-04 1200000 3 18
2,236616e-04 1200000 3 17
7,053705e-04 1200000 3 18
2,782070e-04 1200000 3 19
3,535403e-04 1200000 3 19
3,694558e-04 1200000 6 56
2,209112e-04 1200000 6 25
5,249949e-04 1200000 6 9
2,926287e-04 1200000 6 10
2,363940e-04 1200000 6 10
5,292391e-04 1200000 6 12
6,918351e-05 1200000 6 10
6,315310e-04 1200000 6 11
5,462156e-04 1200000 6 11
2,124230e-04 1200000 6 10
6,289762e-04 1200000 9 54
5,345442e-04 1200000 9 24
3,629149e-05 1200000 9 9
1,430231e-04 1200000 9 8
5,271170e-04 1200000 9 7
6,077555e-04 1200000 9 7
1,833423e-04 1200000 9 8
1,719290e-05 1200000 9 10
3,382531e-04 1200000 9 8
2,484981e-04 1200000 9 8
3,202156e-04 1200000 12 63
5,069574e-04 1200000 12 15
3,488635e-04 1200000 12 7
4,857367e-04 1200000 12 6
2,548643e-04 1200000 12 6
7,722156e-04 1200000 12 7
9,889243e-05 1200000 12 5
3,456804e-04 1200000 12 7
5,143846e-04 1200000 12 7
2,162344e-04 1200000 12 6
4,473960e-05 120000000 3 1590
6,613002e-05 120000000 3 1728
1,212116e-05 120000000 3 1816
5,081932e-05 120000000 3 1789
6,273243e-05 120000000 3 1778
5,046689e-05 120000000 3 1787
1,010520e-05 120000000 3 1765
4,897810e-06 120000000 3 1770
6,183055e-05 120000000 3 1772
8,016749e-05 120000000 3 1838
2,735759e-05 120000000 6 979
2,247913e-05 120000000 6 1022
2,708401e-05 120000000 6 1032
3,425659e-05 120000000 6 1042
3,631500e-05 120000000 6 1013
1,962266e-05 120000000 6 1042
4,021731e-05 120000000 6 1031
5,473224e-05 120000000 6 997
5,206905e-05 120000000 6 1012
5,595472e-05 120000000 6 1002
2,213731e-05 120000000 9 942
7,148824e-05 120000000 9 1061
4,146101e-05 120000000 9 850
1,799594e-06 120000000 9 804
6,451725e-05 120000000 9 784
3,791487e-05 120000000 9 763
1,298288e-05 120000000 9 782
8,759970e-06 120000000 9 757
2,109750e-05 120000000 9 793
3,740557e-05 120000000 9 767
7,169816e-05 120000000 12 596
1,407011e-06 120000000 12 689
6,680345e-06 120000000 12 676
1,691205e-06 120000000 12 632
6,644833e-05 120000000 12 651
4,786736e-05 120000000 12 639
3,133875e-05 120000000 12 650
2,163862e-05 120000000 12 633
4,304194e-05 120000000 12 642
2,175534e-05 120000000 12 672
