1,039396e-05 25000000 1 908
2,872861e-05 25000000 1 865
1,635392e-04 25000000 1 883
4,920230e-05 25000000 1 883
1,056746e-04 25000000 1 880
4,477143e-05 25000000 1 896
3,443272e-05 25000000 1 893
2,245227e-06 25000000 1 880
1,263486e-05 25000000 1 877
9,126148e-05 25000000 1 895
3,153308e-06 50000000 2 909
7,657695e-05 50000000 2 911
8,866073e-06 50000000 2 905
6,870833e-05 50000000 2 902
9,445324e-05 50000000 2 908
3,366013e-05 50000000 2 906
4,937190e-05 50000000 2 904
8,260346e-05 50000000 2 907
5,020890e-06 50000000 2 907
1,414103e-04 50000000 2 910
5,842888e-05 75000000 3 1019
7,807937e-05 75000000 3 1023
1,923873e-05 75000000 3 1058
1,036374e-04 75000000 3 912
7,041431e-05 75000000 3 1012
4,875226e-05 75000000 3 1020
1,748150e-05 75000000 3 911
1,969710e-05 75000000 3 913
8,832120e-06 75000000 3 898
9,197450e-05 75000000 3 898
1,177314e-05 100000000 4 1068
1,481618e-05 100000000 4 917
3,656311e-05 100000000 4 1047
8,312548e-05 100000000 4 1019
3,099906e-05 100000000 4 991
6,107298e-05 100000000 4 1041
1,003270e-04 100000000 4 1028
4,836604e-05 100000000 4 1029
1,572239e-04 100000000 4 1060
1,460999e-04 100000000 4 923
2,176298e-05 125000000 5 1062
5,592501e-05 125000000 5 1058
5,039405e-05 125000000 5 1034
2,856382e-06 125000000 5 1064
3,933368e-05 125000000 5 1018
5,518297e-05 125000000 5 1058
2,628399e-05 125000000 5 1033
3,418826e-05 125000000 5 1054
2,566265e-05 125000000 5 1044
3,673474e-05 125000000 5 1040
1,074198e-05 150000000 6 1050
9,502530e-06 150000000 6 1058
3,590103e-05 150000000 6 1059
2,854187e-05 150000000 6 1047
2,473913e-05 150000000 6 1057
6,845703e-06 150000000 6 1043
1,158730e-06 150000000 6 1051
3,379610e-05 150000000 6 1047
1,222726e-05 150000000 6 1057
2,002798e-05 150000000 6 1048
2,431047e-05 200000000 8 1086
3,426720e-05 200000000 8 1086
2,040162e-05 200000000 8 1077
8,815478e-05 200000000 8 1081
9,534524e-06 200000000 8 1082
7,962073e-06 200000000 8 1082
4,823872e-05 200000000 8 1079
4,541139e-06 200000000 8 1091
7,840177e-05 200000000 8 1097
2,557171e-06 200000000 8 1182
1,742887e-05 250000000 10 1530
2,222134e-05 250000000 10 1484
1,703518e-05 250000000 10 1510
3,324097e-05 250000000 10 1690
1,876832e-05 250000000 10 1544
3,795021e-06 250000000 10 1489
3,612003e-05 250000000 10 1572
1,474488e-05 250000000 10 1585
1,503518e-05 250000000 10 1555
4,659624e-05 250000000 10 1661
